movie,year,imdb_rating,reelgood_rating
Back to the Future,1985,8.5,97
One Flew Over the Cuckoo's Nest,1975,8.7,97
Spider-Man: Into the Spider-Verse,2018,8.4,95
Django Unchained,2012,8.4,95
Eternal Sunshine of the Spotless Mind,2004,8.3,95
Raiders of the Lost Ark,1981,8.4,95
Taxi Driver,1976,8.3,94
Pan's Labyrinth,2006,8.2,93
Spotlight,2015,8.1,93
Fargo,1996,8.1,93
Monty Python and the Holy Grail,1975,8.2,93
Casino Royale,2006,8,93
3 Idiots,2009,8.4,93
Indiana Jones and the Last Crusade,1989,8.2,93
Her,2013,8,92
Nightcrawler,2014,7.9,92
Dallas Buyers Club,2013,8,92
Life of Brian,1979,8.1,92
The Perks of Being a Wallflower,2012,8,92
There Will Be Blood,2007,8.2,91
The Social Network,2010,7.7,91
District 9,2009,7.9,91
Silver Linings Playbook,2012,7.7,91
Gran Torino,2008,8.1,90
The Irishman,2019,7.9,90
How to Train Your Dragon 2,2014,7.8,90
Drive,2011,7.8,90
Marriage Story,2019,8,89
Dangal,2016,8.4,89
Zodiac,2007,7.7,89
Being John Malkovich,1999,7.7,89
Klaus,2019,8.2,89
Pride & Prejudice,2005,7.8,89
Ip Man,2008,8,88
The Help,2011,8,88
Hunt for the Wilderpeople,2016,7.9,88
The Theory of Everything,2014,7.7,88
Airplane!,1980,7.7,88
Back to the Future Part II,1989,7.8,88
Lady Bird,2017,7.4,88
Scott Pilgrim vs. the World,2010,7.5,88
The Hateful Eight,2015,7.8,88
Senna,2010,8.5,88
Indiana Jones and the Temple of Doom,1984,7.6,87
Moonlight,2016,7.4,87
The Social Dilemma,2020,7.8,87
Like Stars on Earth,2007,8.4,87
A Silent Voice,2016,8.1,87
Glory,1989,7.8,87
The Artist,2011,7.9,87
The Evil Dead,1981,7.5,87
Blackfish,2013,8.1,87
Snowpiercer,2013,7.1,87
The Invisible Guest,2016,8.1,87
Back to the Future Part III,1990,7.4,87
End of Watch,2012,7.6,86
About Time,2013,7.8,86
Total Recall,1990,7.5,86
13th,2016,8.3,86
Hugo,2011,7.5,86
Song of the Sea,2014,8.1,86
Y Tu Mam? Tambi?n,2001,7.6,86
Molly's Game,2017,7.4,85
Grease,1978,7.2,85
Black Mirror: Bandersnatch,2018,7.2,85
El Camino: A Breaking Bad Movie,2019,7.3,85
Kung Fu Hustle,2004,7.7,85
Article 15,2019,8.2,85
The Two Popes,2019,7.6,85
The Disaster Artist,2017,7.4,85
To All the Boys I've Loved Before,2018,7.1,85
The Naked Gun: From the Files of Police Squad!,1988,7.6,85
The Florida Project,2017,7.6,85
Les Mis?rables,2012,7.6,85
Lagaan: Once Upon a Time in India,2001,8.1,85
Sleepy Hollow,1999,7.3,84
Icarus,2017,7.9,84
The Lincoln Lawyer,2011,7.3,84
Good Time,2017,7.4,84
Saving Mr. Banks,2013,7.5,84
Frost/Nixon,2008,7.7,84
Poltergeist,1982,7.3,84
Bahubali: The Beginning,2015,8.1,84
Roma,2018,7.7,84
David Attenborough: A Life on Our Planet,2020,9.2,84
The Ballad of Buster Scruggs,2018,7.3,84
Okja,2017,7.3,84
The NeverEnding Story,1984,7.4,84
Uncut Gems,2019,7.4,84
Stranger Than Fiction,2006,7.5,84
Ip Man 2,2010,7.5,84
Ralph Breaks the Internet,2018,7.1,84
Safety Not Guaranteed,2012,7,84
Beasts of No Nation,2015,7.7,84
PK,2014,8.1,83
Green Room,2016,7,83
WarGames,1983,7.1,83
The Dawn Wall,2018,8.1,83
Dolemite Is My Name,2019,7.3,83
The Croods,2013,7.2,83
The Death of Stalin,2017,7.2,83
West Side Story,1961,7.5,83
GoldenEye,1995,7.2,83
The Platform,2019,7,83
The Little Prince,2015,7.7,83
The Old Guard,2020,6.6,83
An Education,2009,7.3,83
The Lobster,2015,7.2,83
Burning,2018,7.5,83
Mad Max,1979,6.9,83
The Gift,2015,7,83
Ip Man 4: The Finale,2019,7.1,83
Bahubali 2: The Conclusion,2017,8.2,83
Neon Genesis Evangelion: The End of Evangelion,1997,8.1,83
The Princess and the Frog,2009,7.1,82
Bad Genius,2017,7.6,82
"Jim & Andy: The Great Beyond- Featuring a Very Special, Contractually Obligated Mention of Tony Clifton",2017,7.7,82
Steve Jobs,2015,7.2,82
The Muppets,2011,7.1,82
Zindagi Na Milegi Dobara,2011,8.1,82
